Site,depth,alpha,mbsl
1073,405,14.3877450000001,639.4
147,505,17.293998,892
1229,80,18,152.2
64,23,18.903592,2060
1247,140,20.0137920000001,834.1
1227,150,22.176022,427.5
1228,50,22.9999999999999,262.2
1002,505,23.5375819999999,892.7
976,154,25.331725,1107.5
1054,45,25.62697,1291.3
471,20,28.806584,3101
685,130,31.6835150000001,5093
794,35,34.298282,2811
1062,126,37.6256129999999,4763.3
965,6,37.8630230000001,1506.6
977,250,38.5418639999999,1984
1063,206,39.2377580000001,4583.5
1226,35,40,3296.9
34,18,40.582726,4322
797,50,40.875912,2862.2
1028,344,44.342508,2659
1023,488,46.570703,2593.3
1026,305,47.5864429999999,2658.1
1025,340,49.6095240000001,2606.2
963,111,51.56038,470.5
63,7,54.7957450000001,4486
178,151,55.9662089999999,4218
964,34,57.257181,3657.7
174,230,58.2010580000001,2799
1124,40,61.0790530000001,2612.4
1055,160,62.476618,1798.7
1123,40,63.8489390000001,2593.3
180,1515,71.811361,4923
