Site,alpha,mbsl
1073,14.3877450000001,639.4
147,17.293998,892
1229,18,152.2
64,18.903592,2060
1247,20.0137920000001,834.1
1227,22.176022,427.5
1228,22.9999999999999,262.2
1002,23.5375819999999,892.7
976,25.331725,1107.5
1054,25.62697,1291.3
471,28.806584,3101
685,31.6835150000001,5093
794,34.298282,2811
1062,37.6256129999999,4763.3
965,37.8630230000001,1506.6
977,38.5418639999999,1984
1063,39.2377580000001,4583.5
1226,40,3296.9
34,40.582726,4322
797,40.875912,2862.2
1028,44.342508,2659
1023,46.570703,2593.3
1026,47.5864429999999,2658.1
1025,49.6095240000001,2606.2
963,51.56038,470.5
63,54.7957450000001,4486
178,55.9662089999999,4218
964,57.257181,3657.7
174,58.2010580000001,2799
1124,61.0790530000001,2612.4
1055,62.476618,1798.7
1123,63.8489390000001,2593.3
180,71.811361,4923
